,Team Name,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-13,2018-01-14,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-24,2018-02-25,2018-02-26,2018-02-27,2018-02-28
247,F Dickinson,6.8,6.8,6.8,6.8,6.8,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.8,6.8,6.8,6.8,6.8,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7
248,St Bonavent,6.8,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.8,7.0,7.0,7.0,7.2,7.2,7.2,7.2,7.4,7.4,7.4,7.5,7.5,7.5,7.6,7.6,7.6,7.7,7.7,7.7,7.7,7.7,7.4,7.4,7.4,7.4,7.4,7.4,7.7
249,SE Louisiana,6.8,6.8,6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.7,6.7,6.7,6.7,7.0,7.0,7.0,7.1,7.1,7.1,7.1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.2,7.2,7.2,7.2
250,Harvard,6.8,6.8,6.8,6.8,6.8,6.8,7.2,7.2,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.3,7.3,7.3,7.3,7.3,7.3,7.7,7.9,7.9,7.9,7.9,7.9,7.9,7.8,7.6,7.6,7.6,7.6,7.6,7.6,7.7,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.6
251,E Kentucky,6.7,6.7,6.7,6.7,6.8,6.8,6.5,6.5,6.5,6.5,6.5,6.8,6.8,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.8,6.8,6.8,6.8,6.8,6.9,6.9,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
252,Georgetown,6.7,6.7,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.8,6.8,6.8,6.8,7.0,7.0,7.0,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4,7.4,7.4,7.5,7.5
253,CS Bakersfld,6.7,6.7,6.7,6.7,6.7,6.7,6.3,6.3,6.3,6.3,6.3,6.1,6.1,5.9,5.9,5.9,5.9,5.9,5.8,5.8,6.0,6.0,6.0,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.9,5.9,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0,6.0,5.8,5.8,6.0,6.0,6.0,6.0
254,Towson,6.7,6.7,6.8,6.8,6.8,7.1,7.1,6.9,6.9,6.9,6.9,6.6,6.6,7.0,7.0,7.0,7.0,7.0,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.3
255,Kent State,6.7,6.7,6.5,6.5,6.5,6.5,6.8,6.8,6.8,6.7,6.7,6.7,6.8,6.8,6.8,6.8,7.1,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4,7.4,7.5,7.5,7.5,7.4,7.4,7.4,7.4,7.3,7.3,7.3,7.4
256,Charlotte,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.5,6.5,6.5,6.5
257,Morehead St,6.6,6.6,6.6,6.6,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.7,6.7,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.8,7.2,7.2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.9,6.9,6.9,6.9
258,Alabama,6.6,6.6,6.4,6.4,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.5,6.5,6.5,6.4
259,TX-Pan Am,6.6,6.6,6.6,6.6,6.6,6.6,6.8,6.8,6.8,6.8,6.8,6.9,6.9,6.8,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.1,6.1,6.1,6.1
260,Ste F Austin,6.6,6.6,6.6,6.4,6.4,6.4,5.8,5.8,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.8,5.8,5.8,5.8,5.8,5.8,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.6,6.6,6.7,6.7,6.7,6.7,6.8,6.8,6.8,6.9,6.9,6.9,6.9,7.1,7.1,7.1,7.0,7.0,7.0,7.0
261,Rhode Island,6.6,6.6,6.6,6.4,6.4,6.4,6.5,6.5,6.5,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.6,6.6,6.6,6.6,6.4,6.4,6.4,6.2,6.2,6.2,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4
262,NJIT,6.6,6.6,6.6,6.7,6.7,6.7,7.1,7.1,7.1,7.1,7.1,7.4,7.4,7.2,7.2,7.2,7.2,7.2,7.5,7.5,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.5,7.5,7.5,7.5,7.5,7.4,7.4,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.6,7.5,7.5
263,Middle Tenn,6.6,6.6,6.6,6.6,6.4,6.4,6.1,6.1,6.1,6.1,6.1,5.9,5.9,6.0,6.0,6.0,6.0,6.0,5.9,5.9,5.8,5.8,5.8,5.8,5.8,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.9,6.9,6.9,6.9,6.9,6.9,6.9,7.1,7.1,7.1,7.1
264,S Mississippi,6.5,6.5,6.5,6.5,6.6,6.6,6.8,6.8,6.8,6.8,6.8,7.4,7.4,7.1,7.1,7.1,7.1,7.1,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.6,7.6,7.5,7.5,7.3,7.3,7.3,7.3
265,Richmond,6.5,6.5,6.5,6.6,6.6,6.6,6.7,6.7,6.7,7.0,7.0,7.0,7.0,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
266,Missouri St,6.5,6.5,6.5,6.5,6.3,6.3,6.3,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,7.0,7.0,7.0,7.0,6.9,6.9,6.9,7.1,7.1,7.1,7.1,7.1,7.1,7.1
267,Incar Word,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.2,6.2,6.2,6.0,6.0,6.0,6.0,5.9,5.9,5.9,5.8,5.8,5.8,5.8,5.9,5.9,5.9,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.9,5.9,5.9,5.9,5.9,5.9,5.9,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.0,6.0,6.0,6.3,6.3,6.3,6.3
268,NC-Asheville,6.5,6.5,6.5,6.7,6.7,6.7,6.6,6.6,6.6,6.7,6.7,6.7,6.8,6.8,6.8,7.2,7.2,7.2,7.0,7.0,7.0,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.6,7.6,7.5,7.5,7.5,7.7,7.7,7.7,7.7,7.9,7.9,7.8,7.8,7.8,7.8
269,UC Irvine,6.5,6.5,6.5,6.5,6.3,6.3,6.8,6.8,6.8,6.8,6.8,6.8,6.8,7.0,7.0,7.0,7.0,7.0,6.9,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.6,6.6,6.6,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3
270,Oral Roberts,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
271,S Car State,6.5,6.5,6.5,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.4,6.4,6.2,6.2
272,North Dakota,6.5,6.5,6.5,6.5,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.9,6.9,7.2,7.2,7.2,7.5,7.5,7.5,7.5,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.0,7.0,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.0,7.0,7.0,7.0
273,Geo Mason,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.6,6.6,6.6,6.9,6.9,6.9,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.2,7.2,7.2,7.2
274,DePaul,6.4,6.4,6.6,6.6,6.6,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.6,6.6,6.6,6.4,6.4,6.4,6.4,6.4,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.4,6.4,6.4,6.3,6.3,6.3,6.3
275,S Illinois,6.4,6.4,6.4,6.5,6.5,6.5,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.4,6.4
276,Loyola Mymt,6.4,6.4,6.4,6.4,6.2,6.2,6.4,6.4,6.4,6.4,6.4,6.3,6.3,6.6,6.6,6.6,6.6,6.6,6.8,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.4,6.4,6.4,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.3
277,Central Conn,6.4,6.4,6.4,6.4,6.4,6.4,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.1,6.1,5.9,5.9,5.9,5.9,5.9,6.0,6.0,5.9,5.9,5.9,5.9,5.9,6.1,6.1,6.1,6.1,6.1,6.1
278,Old Dominion,6.4,6.4,6.4,6.4,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.3,6.3,6.5,6.5,6.5,6.5,6.5,6.7,6.7,6.8,6.8,6.8,6.8,6.8,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4,7.4,7.4,7.4
279,E Illinois,6.4,6.4,6.4,6.4,6.5,6.5,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.5,6.5,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.9,6.9,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.1,7.1,7.1
280,TX El Paso,6.3,6.3,6.3,6.3,6.6,6.6,7.1,7.1,7.1,7.1,7.1,7.2,7.2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.1,7.1,7.4,7.4,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.4,7.4,7.2,7.2,7.2,7.2,7.2,7.1,7.1,7.2,7.2,7.2,7.2
281,Valparaiso,6.3,6.3,6.3,6.4,6.4,6.4,6.7,6.7,6.7,6.7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.8,6.8,6.8,6.8,6.6,6.6,6.6,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.6
282,Stanford,6.3,6.3,6.3,6.3,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.6,6.6,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
283,Colorado St,6.3,6.3,6.4,6.4,6.4,6.4,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.8,6.8,6.8,6.9,6.9,6.9,6.8,6.8,6.8,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.9,6.9,6.9,6.9,6.8,6.8,6.8,6.8,7.0,7.0,7.0
284,Connecticut,6.2,6.2,6.2,6.6,6.6,6.6,6.3,6.3,6.3,6.3,6.1,6.1,6.1,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.1,6.1,6.1,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.3,6.3,6.3,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.7,6.7,6.7
285,Alab A&M,6.2,6.3,6.3,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.1,6.1,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
286,McNeese St,6.2,6.2,6.2,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.8,6.8,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.2,7.2,7.2,7.1,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.4,7.4,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4,7.1,7.1,7.1,7.1
287,W Kentucky,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.5,6.5,6.3,6.3,6.3,6.3,6.3,6.1,6.1,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.9,5.9,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
288,Ark Pine Bl,6.2,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.6,6.6,6.6,6.6,6.6,6.8,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4
289,Houston Bap,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.4,6.4,6.4,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.9,6.9,6.9,6.9,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
290,Jacksonville,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.0,6.0,5.8,5.8,5.8,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.8,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.8,5.8,5.8,5.8,5.8
291,Navy,6.2,6.2,6.3,6.3,6.3,6.6,6.6,6.6,6.7,6.7,6.7,6.6,6.6,6.6,6.5,6.5,6.5,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.1,6.1,6.1,6.1
292,UNLV,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.0,6.0,6.0,6.1,6.1,6.1,6.0,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.9,5.9,5.9,5.8,5.8,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.7,5.7,5.7,5.7,5.7,5.7,5.7
293,Southern,6.1,6.2,6.2,6.1,6.1,6.1,6.1,6.1,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4
294,Youngs St,6.1,6.4,6.4,6.4,6.5,6.5,6.6,6.6,6.6,6.6,7.0,7.0,7.2,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.3,7.5,7.5,7.3,7.3,7.3,7.3,7.3,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.3,7.3,7.3,7.3
295,Indiana,6.1,6.1,5.9,5.9,5.9,5.9,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.4,6.4,6.4,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3
296,S Florida,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3
297,Texas,6.0,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.6,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.8,6.8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.2,7.2,7.0,7.0,7.0,7.0,7.0,7.1,7.1,7.1,7.1,6.9,6.9,6.9,6.9,6.9,6.9,6.9
298,Sac State,6.0,6.0,6.0,6.0,6.5,6.5,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.2,6.2,6.2,6.2,6.2,6.0,6.0,5.9,5.9,5.9,5.9,5.9,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.1
